📦 세트구성_매핑.xlsx 내용:

             세트바코드                                      구성품명         구성품바코드  수량         등록일         수정일
251  LE102S1005001                    미니멀러그_딥블랙_라운드_500x1500  LE10000005017   1  2026-04-13  2026-04-13
252  LE102S2001002                    미니멀러그_오프화이트_사각_400x600  LE10000001001   1  2026-04-13  2026-04-13
253  LE102S2001002                      미니멀러그_오프화이트_원형_1500Ø  R008535120005   1  2026-04-13  2026-04-13
254  LE102S2001002                  미니멀러그_오프화이트_라운드_500x1500  LE10000001017   1  2026-04-13  2026-04-13
255  LE102S2002002                      미니멀러그_브라운_사각_400x600  LE10000002001   1  2026-04-13  2026-04-13
256  LE102S2002002                        미니멀러그_브라운_원형_1500Ø  R008535120004   1  2026-04-13  2026-04-13
257  LE102S2002002                    미니멀러그_브라운_라운드_500x1500  LE10000002017   1  2026-04-13  2026-04-13
258  LE102S2003002                      미니멀러그_그레이_사각_400x600  LE10000003001   1  2026-04-13  2026-04-13
259  LE102S2003002                        미니멀러그_그레이_원형_1500Ø  R008535120001   1  2026-04-13  2026-04-13
260  LE102S2003002                    미니멀러그_그레이_라운드_500x1500  LE10000003017   1  2026-04-13  2026-04-13
261  LE102S2004002                      미니멀러그_블루문_사각_400x600  LE10000004001   1  2026-04-13  2026-04-13
262  LE102S2004002                        미니멀러그_블루문_원형_1500Ø  LE10000004008   1  2026-04-13  2026-04-13
263  LE102S2004002                    미니멀러그_블루문_라운드_500x1500  LE10000004017   1  2026-04-13  2026-04-13
264  LE102S2005002                      미니멀러그_딥블랙_사각_400x600  LE10000005001   1  2026-04-13  2026-04-13
265  LE102S2005002                        미니멀러그_딥블랙_원형_1500Ø  LE10000005008   1  2026-04-13  2026-04-13
266  LE102S2005002                    미니멀러그_딥블랙_라운드_500x1500  LE10000005017   1  2026-04-13  2026-04-13
267  LE102S3001001                    미니멀러그_오프화이트_사각_400x600  LE10000001001   1  2026-04-13  2026-04-13
268  LE102S3001001                  미니멀러그_오프화이트_사각_2000x3000  LE10000001006   1  2026-04-13  2026-04-13
269  LE102S3001001                  미니멀러그_오프화이트_라운드_500x1500  LE10000001017   1  2026-04-13  2026-04-13
270  LE102S3002001                      미니멀러그_브라운_사각_400x600  LE10000002001   1  2026-04-13  2026-04-13
271  LE102S3002001                    미니멀러그_브라운_사각_2000x3000  LE10000002006   1  2026-04-13  2026-04-13
272  LE102S3002001                    미니멀러그_브라운_라운드_500x1500  LE10000002017   1  2026-04-13  2026-04-13
273  LE102S3003001                      미니멀러그_그레이_사각_400x600  LE10000003001   1  2026-04-13  2026-04-13
274  LE102S3003001                    미니멀러그_그레이_사각_2000x3000  LE10000003006   1  2026-04-13  2026-04-13
275  LE102S3003001                    미니멀러그_그레이_라운드_500x1500  LE10000003017   1  2026-04-13  2026-04-13
276  LE102S3004001                      미니멀러그_블루문_사각_400x600  LE10000004001   1  2026-04-13  2026-04-13
277  LE102S3004001                    미니멀러그_블루문_사각_2000x3000  LE10000004006   1  2026-04-13  2026-04-13
278  LE102S3004001                    미니멀러그_블루문_라운드_500x1500  LE10000004017   1  2026-04-13  2026-04-13
279  LE102S3005001                      미니멀러그_딥블랙_사각_400x600  LE10000005001   1  2026-04-13  2026-04-13
280  LE102S3005001                    미니멀러그_딥블랙_사각_2000x3000  LE10000005006   1  2026-04-13  2026-04-13
281  LE102S3005001                    미니멀러그_딥블랙_라운드_500x1500  LE10000005017   1  2026-04-13  2026-04-13
282  LE102S4001002                    미니멀러그_오프화이트_사각_400x600  LE10000001001   1  2026-04-13  2026-04-13
283  LE102S4001002                  미니멀러그_오프화이트_사각_1500x2000  R008535120010   1  2026-04-13  2026-04-13
284  LE102S4001002                  미니멀러그_오프화이트_라운드_500x1500  LE10000001017   1  2026-04-13  2026-04-13
285  LE102S4002002                      미니멀러그_브라운_사각_400x600  LE10000002001   1  2026-04-13  2026-04-13
286  LE102S4002002                    미니멀러그_브라운_사각_1500x2000  LE10000002004   1  2026-04-13  2026-04-13
287  LE102S4002002                    미니멀러그_브라운_라운드_500x1500  LE10000002017   1  2026-04-13  2026-04-13
288  LE102S4003002                      미니멀러그_그레이_사각_400x600  LE10000003001   1  2026-04-13  2026-04-13
289  LE102S4003002                    미니멀러그_그레이_사각_1500x2000  LE10000003004   1  2026-04-13  2026-04-13
290  LE102S4003002                    미니멀러그_그레이_라운드_500x1500  LE10000003017   1  2026-04-13  2026-04-13
291  LE102S4004002                      미니멀러그_블루문_사각_400x600  LE10000004001   1  2026-04-13  2026-04-13
292  LE102S4004002                    미니멀러그_블루문_사각_1500x2000  LE10000004004   1  2026-04-13  2026-04-13
293  LE102S4004002                    미니멀러그_블루문_라운드_500x1500  LE10000004017   1  2026-04-13  2026-04-13
294  LE102S4005002                      미니멀러그_딥블랙_사각_400x600  LE10000005001   1  2026-04-13  2026-04-13
295  LE102S4005002                    미니멀러그_딥블랙_사각_1500x2000  LE10000005004   1  2026-04-13  2026-04-13
296  LE102S4005002                    미니멀러그_딥블랙_라운드_500x1500  LE10000005017   1  2026-04-13  2026-04-13
297  LE102S5001001                    미니멀러그_오프화이트_사각_400x600  LE10000001001   1  2026-04-13  2026-04-13
298  LE102S5001001                  미니멀러그_오프화이트_타원_2000x3000  LE10000001013   1  2026-04-13  2026-04-13
299  LE102S5001001                  미니멀러그_오프화이트_라운드_500x1500  LE10000001017   1  2026-04-13  2026-04-13
300  LE102S5002001                      미니멀러그_브라운_사각_400x600  LE10000002001   1  2026-04-13  2026-04-13
301  LE102S5002001                   미니멀러그_브라운_타원__2000x3000  LE10000002013   1  2026-04-13  2026-04-13
302  LE102S5002001                    미니멀러그_브라운_라운드_500x1500  LE10000002017   1  2026-04-13  2026-04-13
303  LE102S5003001                      미니멀러그_그레이_사각_400x600  LE10000003001   1  2026-04-13  2026-04-13
304  LE102S5003001                    미니멀러그_그레이_타원_2000x3000  LE10000003013   1  2026-04-13  2026-04-13
305  LE102S5003001                    미니멀러그_그레이_라운드_500x1500  LE10000003017   1  2026-04-13  2026-04-13
306  LE102S5004001                      미니멀러그_블루문_사각_400x600  LE10000004001   1  2026-04-13  2026-04-13
307  LE102S5004001                     미니멀러그_블루문_타원2000x3000  LE10000004013   1  2026-04-13  2026-04-13
308  LE102S5004001                    미니멀러그_블루문_라운드_500x1500  LE10000004017   1  2026-04-13  2026-04-13
309  LE102S5005001                      미니멀러그_딥블랙_사각_400x600  LE10000005001   1  2026-04-13  2026-04-13
310  LE102S5005001                   미니멀러그_딥블랙_타원_2000x3000   LE10000005013   1  2026-04-13  2026-04-13
311  LE102S5005001                    미니멀러그_딥블랙_라운드_500x1500  LE10000005017   1  2026-04-13  2026-04-13
312  LE102S6001002                    미니멀러그_오프화이트_사각_400x600  LE10000001001   1  2026-04-13  2026-04-13
313  LE102S6001002                  미니멀러그_오프화이트_타원_1500x2250  LE10000001012   1  2026-04-13  2026-04-13
314  LE102S6001002                  미니멀러그_오프화이트_라운드_500x1500  LE10000001017   1  2026-04-13  2026-04-13
315  LE102S6002002                      미니멀러그_브라운_사각_400x600  LE10000002001   1  2026-04-13  2026-04-13
316  LE102S6002002                    미니멀러그_브라운_타원_1500x2250  LE10000002012   1  2026-04-13  2026-04-13
317  LE102S6002002                    미니멀러그_브라운_라운드_500x1500  LE10000002017   1  2026-04-13  2026-04-13
318  LE102S6003002                      미니멀러그_그레이_사각_400x600  LE10000003001   1  2026-04-13  2026-04-13
319  LE102S6003002                    미니멀러그_그레이_타원_1500x2250  LE10000003012   1  2026-04-13  2026-04-13
320  LE102S6003002                    미니멀러그_그레이_라운드_500x1500  LE10000003017   1  2026-04-13  2026-04-13
321  LE102S6004002                      미니멀러그_블루문_사각_400x600  LE10000004001   1  2026-04-13  2026-04-13
322  LE102S6004002                     미니멀러그_블루문_타원1500x2250  LE10000004012   1  2026-04-13  2026-04-13
323  LE102S6004002                    미니멀러그_블루문_라운드_500x1500  LE10000004017   1  2026-04-13  2026-04-13
324  LE102S6005002                      미니멀러그_딥블랙_사각_400x600  LE10000005001   1  2026-04-13  2026-04-13
325  LE102S6005002                   미니멀러그_딥블랙_타원_1500x2250   LE10000005012   1  2026-04-13  2026-04-13
326  LE102S6005002                    미니멀러그_딥블랙_라운드_500x1500  LE10000005017   1  2026-04-13  2026-04-13
327  LE10300001003        시어서커_러그_오프화이트(off_white)_1000x1500  LE10300001003   1  2026-04-13  2026-04-13
328  LE10300001004        시어서커_러그_오프화이트(off_white)_1500x2000  LE10300001004   1  2026-04-13  2026-04-13
329  LE10300001005        시어서커_러그_오프화이트(off_white)_2000x2500  LE10300001005   1  2026-04-13  2026-04-13
330  LE10300001006        시어서커_러그_오프화이트(off_white)_2000x3000  LE10300001006   1  2026-04-13  2026-04-13
331  LE10300001021       시어서커_소파커버_오프화이트(off_white)_650x1800  LE10300001021   1  2026-04-13  2026-04-13
332  LE10300001022       시어서커_소파커버_오프화이트(off_white)_650x2400  LE10300001022   1  2026-04-13  2026-04-13
333  LE10300001023       시어서커_소파커버_오프화이트(off_white)_900x2000  LE10300001023   1  2026-04-13  2026-04-13
334  LE10300001024      시어서커_매트커버_오프화이트(off_white)_1100x2000  LE10300001024   1  2026-04-13  2026-04-13
335  LE10300001025      시어서커_매트커버_오프화이트(off_white)_1500x2000  LE10300001025   1  2026-04-13  2026-04-13
336  LE10300001026      시어서커_매트커버_오프화이트(off_white)_1600x2000  LE10300001026   1  2026-04-13  2026-04-13
337  LE10300001027      시어서커_매트커버_오프화이트(off_white)_1800x2000  LE10300001027   1  2026-04-13  2026-04-13
338  LE10300002003        시어서커_러그_브라운(Light_Brown)_1000x1500  LE10300002003   1  2026-04-13  2026-04-13
339  LE10300002004        시어서커_러그_브라운(Light_Brown)_1500x2000  LE10300002004   1  2026-04-13  2026-04-13
340  LE10300002005        시어서커_러그_브라운(Light_Brown)_2000x2500  LE10300002005   1  2026-04-13  2026-04-13
341  LE10300002006        시어서커_러그_브라운(Light_Brown)_2000x3000  LE10300002006   1  2026-04-13  2026-04-13
342  LE10300002021       시어서커_소파커버_브라운(Light_Brown)_650x1800  LE10300002021   1  2026-04-13  2026-04-13
343  LE10300002022       시어서커_소파커버_브라운(Light_Brown)_650x2400  LE10300002022   1  2026-04-13  2026-04-13
344  LE10300002023       시어서커_소파커버_브라운(Light_Brown)_900x2000  LE10300002023   1  2026-04-13  2026-04-13
345  LE10300002024      시어서커_매트커버_브라운(Light_Brown)_1100x2000  LE10300002024   1  2026-04-13  2026-04-13
346  LE10300002025      시어서커_매트커버_브라운(Light_Brown)_1500x2000  LE10300002025   1  2026-04-13  2026-04-13
347  LE10300002026      시어서커_매트커버_브라운(Light_Brown)_1600x2000  LE10300002026   1  2026-04-13  2026-04-13
348  LE10300002027      시어서커_매트커버_브라운(Light_Brown)_1800x2000  LE10300002027   1  2026-04-13  2026-04-13
349  LE10300003003               시어서커_러그_그레이(Grey)_1000x1500  LE10300003003   1  2026-04-13  2026-04-13
350  LE10300003004               시어서커_러그_그레이(Grey)_1500x2000  LE10300003004   1  2026-04-13  2026-04-13
351  LE10300003005               시어서커_러그_그레이(Grey)_2000x2500  LE10300003005   1  2026-04-13  2026-04-13
352  LE10300003006               시어서커_러그_그레이(Grey)_2000x3000  LE10300003006   1  2026-04-13  2026-04-13
353  LE10300003021              시어서커_소파커버_그레이(Grey)_650x1800  LE10300003021   1  2026-04-13  2026-04-13
354  LE10300003022              시어서커_소파커버_그레이(Grey)_650x2400  LE10300003022   1  2026-04-13  2026-04-13
355  LE10300003023              시어서커_소파커버_그레이(Grey)_900x2000  LE10300003023   1  2026-04-13  2026-04-13
356  LE10300003024             시어서커_매트커버_그레이(Grey)_1100x2000  LE10300003024   1  2026-04-13  2026-04-13
357  LE10300003025             시어서커_매트커버_그레이(Grey)_1500x2000  LE10300003025   1  2026-04-13  2026-04-13
358  LE10300003026             시어서커_매트커버_그레이(Grey)_1600x2000  LE10300003026   1  2026-04-13  2026-04-13
359  LE10300003027             시어서커_매트커버_그레이(Grey)_1800x2000  LE10300003027   1  2026-04-13  2026-04-13
360  LE10300006003               시어서커_러그_그린(Green)_1000x1500  LE10300006003   1  2026-04-13  2026-04-13
361  LE10300006004               시어서커_러그_그린(Green)_1500x2000  LE10300006004   1  2026-04-13  2026-04-13
362  LE10300006005               시어서커_러그_그린(Green)_2000x2500  LE10300006005   1  2026-04-13  2026-04-13
363  LE10300006006               시어서커_러그_그린(Green)_2000x3000  LE10300006006   1  2026-04-13  2026-04-13
364  LE10300006021              시어서커_소파커버_그린(Green)_650x1800  LE10300006021   1  2026-04-13  2026-04-13
365  LE10300006022              시어서커_소파커버_그린(Green)_650x2400  LE10300006022   1  2026-04-13  2026-04-13
366  LE10300006023              시어서커_소파커버_그린(Green)_900x2000  LE10300006023   1  2026-04-13  2026-04-13
367  LE10300006024             시어서커_매트커버_그린(Green)_1100x2000  LE10300006024   1  2026-04-13  2026-04-13
368  LE10300006025             시어서커_매트커버_그린(Green)_1500x2000  LE10300006025   1  2026-04-13  2026-04-13
369  LE10300006026             시어서커_매트커버_그린(Green)_1600x2000  LE10300006026   1  2026-04-13  2026-04-13
370  LE10300006027             시어서커_매트커버_그린(Green)_1800x2000  LE10300006027   1  2026-04-13  2026-04-13
371  LE103S100100A        시어서커_러그_오프화이트(off_white)_2000x3000  LE10300001006   1  2026-04-13  2026-04-13
372  LE103S100100A        시어서커_러그_오프화이트(off_white)_1500x2000  LE10300001004   1  2026-04-13  2026-04-13
373  LE103S100100A      시어서커_매트커버_오프화이트(off_white)_1600x2000  LE10300001026   1  2026-04-13  2026-04-13
374  LE103S100100A      시어서커_매트커버_오프화이트(off_white)_1100x2000  LE10300001024   1  2026-04-13  2026-04-13
375  LE103S100200A        시어서커_러그_브라운(Light_Brown)_2000x3000  LE10300002006   1  2026-04-13  2026-04-13
376  LE103S100200A        시어서커_러그_브라운(Light_Brown)_1500x2000  LE10300002004   1  2026-04-13  2026-04-13
377  LE103S100200A      시어서커_매트커버_브라운(Light_Brown)_1600x2000  LE10300002026   1  2026-04-13  2026-04-13
378  LE103S100200A      시어서커_매트커버_브라운(Light_Brown)_1100x2000  LE10300002024   1  2026-04-13  2026-04-13
379  LE103S100300A               시어서커_러그_그레이(Grey)_2000x3000  LE10300003006   1  2026-04-13  2026-04-13
380  LE103S100300A               시어서커_러그_그레이(Grey)_1500x2000  LE10300003004   1  2026-04-13  2026-04-13
381  LE103S100300A             시어서커_매트커버_그레이(Grey)_1600x2000  LE10300003026   1  2026-04-13  2026-04-13
382  LE103S100300A             시어서커_매트커버_그레이(Grey)_1100x2000  LE10300003024   1  2026-04-13  2026-04-13
383  LE103S100600A               시어서커_러그_그린(Green)_2000x3000  LE10300006006   1  2026-04-13  2026-04-13
384  LE103S100600A               시어서커_러그_그린(Green)_1500x2000  LE10300006004   1  2026-04-13  2026-04-13
385  LE103S100600A             시어서커_매트커버_그린(Green)_1600x2000  LE10300006026   1  2026-04-13  2026-04-13
386  LE103S100600A             시어서커_매트커버_그린(Green)_1100x2000  LE10300006024   1  2026-04-13  2026-04-13
387  LE103S200100B        시어서커_러그_오프화이트(off_white)_2000x3000  LE10300001006   1  2026-04-13  2026-04-13
388  LE103S200100B        시어서커_러그_오프화이트(off_white)_1500x2000  LE10300001004   1  2026-04-13  2026-04-13
389  LE103S200200B        시어서커_러그_브라운(Light_Brown)_2000x3000  LE10300002006   1  2026-04-13  2026-04-13
390  LE103S200200B        시어서커_러그_브라운(Light_Brown)_1500x2000  LE10300002004   1  2026-04-13  2026-04-13
391  LE103S200300B               시어서커_러그_그레이(Grey)_2000x3000  LE10300003006   1  2026-04-13  2026-04-13
392  LE103S200300B               시어서커_러그_그레이(Grey)_1500x2000  LE10300003004   1  2026-04-13  2026-04-13
393  LE103S200600B               시어서커_러그_그린(Green)_2000x3000  LE10300006006   1  2026-04-13  2026-04-13
394  LE103S200600B               시어서커_러그_그린(Green)_1500x2000  LE10300006004   1  2026-04-13  2026-04-13
395  LE103S300100C      시어서커_매트커버_오프화이트(off_white)_1600x2000  LE10300001026   1  2026-04-13  2026-04-13
396  LE103S300100C      시어서커_매트커버_오프화이트(off_white)_1100x2000  LE10300001024   1  2026-04-13  2026-04-13
397  LE103S300200C      시어서커_매트커버_브라운(Light_Brown)_1600x2000  LE10300002026   1  2026-04-13  2026-04-13
398  LE103S300200C      시어서커_매트커버_브라운(Light_Brown)_1100x2000  LE10300002024   1  2026-04-13  2026-04-13
399  LE103S300300C             시어서커_매트커버_그레이(Grey)_1600x2000  LE10300003026   1  2026-04-13  2026-04-13
400  LE103S300300C             시어서커_매트커버_그레이(Grey)_1100x2000  LE10300003024   1  2026-04-13  2026-04-13
401  LE103S300600C             시어서커_매트커버_그린(Green)_1600x2000  LE10300006026   1  2026-04-13  2026-04-13
402  LE103S300600C             시어서커_매트커버_그린(Green)_1100x2000  LE10300006024   1  2026-04-13  2026-04-13
403  LE10400001001                       그레인러그_오트(Oat)_40x60  LE10400001001   1  2026-04-13  2026-04-13
404  LE10400001002                      그레인러그_오트(Oat)_50x150  LE10400001002   1  2026-04-13  2026-04-13
405  LE10400001003                 그레인러그_오트(Oat)_50x150(라운드)  LE10400001003   1  2026-04-13  2026-04-13
406  LE10400001004                     그레인러그_오트(Oat)_100x150  LE10400001004   1  2026-04-13  2026-04-13
407  LE10400001005                     그레인러그_오트(Oat)_150x200  LE10400001005   1  2026-04-13  2026-04-13
408  LE10400001006                     그레인러그_오트(Oat)_200x300  LE10400001006   1  2026-04-13  2026-04-13
409  LE10400001007                        그레인러그_오트(Oat)_100Ø  LE10400001007   1  2026-04-13  2026-04-13
410  LE10400001008                        그레인러그_오트(Oat)_150Ø  LE10400001008   1  2026-04-13  2026-04-13
411  LE10400001009                        그레인러그_오트(Oat)_190Ø  LE10400001009   1  2026-04-13  2026-04-13
412  LE10400001010                 그레인러그_오트(Oat)_100x150(타원)  LE10400001010   1  2026-04-13  2026-04-13
413  LE10400001011                 그레인러그_오트(Oat)_150x225(타원)  LE10400001011   1  2026-04-13  2026-04-13
414  LE10400001012                 그레인러그_오트(Oat)_200x300(타원)  LE10400001012   1  2026-04-13  2026-04-13
415  LE10400001013                 그레인러그_오트(Oat)_36x60(도어매트)  LE10400001013   1  2026-04-13  2026-04-13
416  LE10400001014                 그레인러그_오트(Oat)_48x80(도어매트)  LE10400001014   1  2026-04-13  2026-04-13
417  LE10400001015                그레인러그_오트(Oat)_60x100(도어매트)  LE10400001015   1  2026-04-13  2026-04-13
418  LE10400001016                그레인러그_오트(Oat)_65x180(소파패드)  LE10400001016   1  2026-04-13  2026-04-13
419  LE10400001017                그레인러그_오트(Oat)_65x240(소파패드)  LE10400001017   1  2026-04-13  2026-04-13
420  LE10400001018                그레인러그_오트(Oat)_90x200(소파패드)  LE10400001018   1  2026-04-13  2026-04-13
421  LE10400002001                   그레인러그_클라우드(Cloud)_40x60  LE10400002001   1  2026-04-13  2026-04-13
422  LE10400002002                  그레인러그_클라우드(Cloud)_50x150  LE10400002002   1  2026-04-13  2026-04-13
423  LE10400002003             그레인러그_클라우드(Cloud)_50x150(라운드)  LE10400002003   1  2026-04-13  2026-04-13
424  LE10400002004                 그레인러그_클라우드(Cloud)_100x150  LE10400002004   1  2026-04-13  2026-04-13
425  LE10400002005                 그레인러그_클라우드(Cloud)_150x200  LE10400002005   1  2026-04-13  2026-04-13
426  LE10400002006                 그레인러그_클라우드(Cloud)_200x300  LE10400002006   1  2026-04-13  2026-04-13
427  LE10400002007                    그레인러그_클라우드(Cloud)_100Ø  LE10400002007   1  2026-04-13  2026-04-13
428  LE10400002008                    그레인러그_클라우드(Cloud)_150Ø  LE10400002008   1  2026-04-13  2026-04-13
429  LE10400002009                    그레인러그_클라우드(Cloud)_190Ø  LE10400002009   1  2026-04-13  2026-04-13
430  LE10400002010             그레인러그_클라우드(Cloud)_100x150(타원)  LE10400002010   1  2026-04-13  2026-04-13
431  LE10400002011             그레인러그_클라우드(Cloud)_150x225(타원)  LE10400002011   1  2026-04-13  2026-04-13
432  LE10400002012             그레인러그_클라우드(Cloud)_200x300(타원)  LE10400002012   1  2026-04-13  2026-04-13
433  LE10400002013             그레인러그_클라우드(Cloud)_36x60(도어매트)  LE10400002013   1  2026-04-13  2026-04-13
434  LE10400002014             그레인러그_클라우드(Cloud)_48x80(도어매트)  LE10400002014   1  2026-04-13  2026-04-13
435  LE10400002015            그레인러그_클라우드(Cloud)_60x100(도어매트)  LE10400002015   1  2026-04-13  2026-04-13
436  LE10400002016            그레인러그_클라우드(Cloud)_65x180(소파패드)  LE10400002016   1  2026-04-13  2026-04-13
437  LE10400002017            그레인러그_클라우드(Cloud)_65x240(소파패드)  LE10400002017   1  2026-04-13  2026-04-13
438  LE10400002018            그레인러그_클라우드(Cloud)_90x200(소파패드)  LE10400002018   1  2026-04-13  2026-04-13
439  LE10400003001          그레인러그_블루문핑크(Bluemoon Pink)_40x60  LE10400003001   1  2026-04-13  2026-04-13
440  LE10400003002         그레인러그_블루문핑크(Bluemoon Pink)_50x150  LE10400003002   1  2026-04-13  2026-04-13
441  LE10400003003    그레인러그_블루문핑크(Bluemoon Pink)_50x150(라운드)  LE10400003003   1  2026-04-13  2026-04-13
442  LE10400003004        그레인러그_블루문핑크(Bluemoon Pink)_100x150  LE10400003004   1  2026-04-13  2026-04-13
443  LE10400003005        그레인러그_블루문핑크(Bluemoon Pink)_150x200  LE10400003005   1  2026-04-13  2026-04-13
444  LE10400003006        그레인러그_블루문핑크(Bluemoon Pink)_200x300  LE10400003006   1  2026-04-13  2026-04-13
445  LE10400003007           그레인러그_블루문핑크(Bluemoon Pink)_100Ø  LE10400003007   1  2026-04-13  2026-04-13
446  LE10400003008           그레인러그_블루문핑크(Bluemoon Pink)_150Ø  LE10400003008   1  2026-04-13  2026-04-13
447  LE10400003009           그레인러그_블루문핑크(Bluemoon Pink)_190Ø  LE10400003009   1  2026-04-13  2026-04-13
448  LE10400003010    그레인러그_블루문핑크(Bluemoon Pink)_100x150(타원)  LE10400003010   1  2026-04-13  2026-04-13
449  LE10400003011    그레인러그_블루문핑크(Bluemoon Pink)_150x225(타원)  LE10400003011   1  2026-04-13  2026-04-13
450  LE10400003012    그레인러그_블루문핑크(Bluemoon Pink)_200x300(타원)  LE10400003012   1  2026-04-13  2026-04-13
451  LE10400003013    그레인러그_블루문핑크(Bluemoon Pink)_36x60(도어매트)  LE10400003013   1  2026-04-13  2026-04-13
452  LE10400003014    그레인러그_블루문핑크(Bluemoon Pink)_48x80(도어매트)  LE10400003014   1  2026-04-13  2026-04-13
453  LE10400003015   그레인러그_블루문핑크(Bluemoon Pink)_60x100(도어매트)  LE10400003015   1  2026-04-13  2026-04-13
454  LE10400003016   그레인러그_블루문핑크(Bluemoon Pink)_65x180(소파패드)  LE10400003016   1  2026-04-13  2026-04-13
455  LE10400003017   그레인러그_블루문핑크(Bluemoon Pink)_65x240(소파패드)  LE10400003017   1  2026-04-13  2026-04-13
456  LE10400003018   그레인러그_블루문핑크(Bluemoon Pink)_90x200(소파패드)  LE10400003018   1  2026-04-13  2026-04-13
457  LE10400005001                   그레인러그 아이보리(Ivory) 40x60  LE10400005001   1  2026-04-13  2026-04-13
458  LE10400005002               그레인러그 아이보리(Ivory) 50x150 사각  LE10400005002   1  2026-04-13  2026-04-13
459  LE10400005003              그레인러그 아이보리(Ivory) 50x150 라운드  LE10400005003   1  2026-04-13  2026-04-13
460  LE10400005004             그레인러그 아이보리(Ivory) 100x150(사각)  LE10400005004   1  2026-04-13  2026-04-13
461  LE10400005005             그레인러그 아이보리(Ivory) 150x200(사각)  LE10400005005   1  2026-04-13  2026-04-13
462  LE10400005006             그레인러그 아이보리(Ivory) 200x300(사각)  LE10400005006   1  2026-04-13  2026-04-13
463  LE10400005007                 그레인러그 아이보리(Ivory) 100(원형)  LE10400005007   1  2026-04-13  2026-04-13
464  LE10400005008                 그레인러그 아이보리(Ivory) 150(원형)  LE10400005008   1  2026-04-13  2026-04-13
465  LE10400005009                그레인러그 아이보리(Ivory) 190Ø(원형)  LE10400005009   1  2026-04-13  2026-04-13
466  LE10400005010            그레인러그 아이보리(Ivory) 100x150 (타원)  LE10400005010   1  2026-04-13  2026-04-13
467  LE10400005011            그레인러그 아이보리(Ivory) 150x225 (타원)  LE10400005011   1  2026-04-13  2026-04-13
468  LE10400005012            그레인러그 아이보리(Ivory) 200x300 (타원)  LE10400005012   1  2026-04-13  2026-04-13
469  LE10400005013              그레인러그 아이보리(Ivory) 36x60 도어매트  LE10400005013   1  2026-04-13  2026-04-13
470  LE10400005014              그레인러그 아이보리(Ivory) 48x80 도어매트  LE10400005014   1  2026-04-13  2026-04-13
471  LE10400005015             그레인러그 아이보리(Ivory) 60x100 도어매트  LE10400005015   1  2026-04-13  2026-04-13
472  LE10400005016            그레인러그 아이보리(Ivory) 65x180(소파패드)  LE10400005016   1  2026-04-13  2026-04-13
473  LE10400005017            그레인러그 아이보리(Ivory) 65x240(소파패드)  LE10400005017   1  2026-04-13  2026-04-13
474  LE10400005018            그레인러그 아이보리(Ivory) 90x200(소파패드)  LE10400005018   1  2026-04-13  2026-04-13
475  LE104S100100A                     그레인러그_오트(Oat)_200x300  LE10400001006   1  2026-04-13  2026-04-13
476  LE104S100100A                     그레인러그_오트(Oat)_150x200  LE10400001005   1  2026-04-13  2026-04-13
477  LE104S100100A                       그레인러그_오트(Oat)_40x60  LE10400001001   1  2026-04-13  2026-04-13
478  LE104S100100A                      그레인러그_오트(Oat)_50x150  LE10400001002   1  2026-04-13  2026-04-13
479  LE104S100100B                     그레인러그_오트(Oat)_200x300  LE10400001006   1  2026-04-13  2026-04-13
480  LE104S100100B                       그레인러그_오트(Oat)_40x60  LE10400001001   1  2026-04-13  2026-04-13
481  LE104S100100B                      그레인러그_오트(Oat)_50x150  LE10400001002   1  2026-04-13  2026-04-13
482  LE104S100100C                     그레인러그_오트(Oat)_150x200  LE10400001005   1  2026-04-13  2026-04-13
483  LE104S100100C                       그레인러그_오트(Oat)_40x60  LE10400001001   1  2026-04-13  2026-04-13
484  LE104S100100C                      그레인러그_오트(Oat)_50x150  LE10400001002   1  2026-04-13  2026-04-13
485  LE104S100200A                 그레인러그_클라우드(Cloud)_200x300  LE10400002006   1  2026-04-13  2026-04-13
486  LE104S100200A                 그레인러그_클라우드(Cloud)_150x200  LE10400002005   1  2026-04-13  2026-04-13
487  LE104S100200A                   그레인러그_클라우드(Cloud)_40x60  LE10400002001   1  2026-04-13  2026-04-13
488  LE104S100200A                  그레인러그_클라우드(Cloud)_50x150  LE10400002002   1  2026-04-13  2026-04-13
489  LE104S100200B                 그레인러그_클라우드(Cloud)_200x300  LE10400002006   1  2026-04-13  2026-04-13
490  LE104S100200B                   그레인러그_클라우드(Cloud)_40x60  LE10400002001   1  2026-04-13  2026-04-13
491  LE104S100200B                  그레인러그_클라우드(Cloud)_50x150  LE10400002002   1  2026-04-13  2026-04-13
492  LE104S100200C                 그레인러그_클라우드(Cloud)_150x200  LE10400002005   1  2026-04-13  2026-04-13
493  LE104S100200C                   그레인러그_클라우드(Cloud)_40x60  LE10400002001   1  2026-04-13  2026-04-13
494  LE104S100200C                  그레인러그_클라우드(Cloud)_50x150  LE10400002002   1  2026-04-13  2026-04-13
495  LE104S100300A        그레인러그_블루문핑크(Bluemoon Pink)_200x300  LE10400003006   1  2026-04-13  2026-04-13
496  LE104S100300A        그레인러그_블루문핑크(Bluemoon Pink)_150x200  LE10400003005   1  2026-04-13  2026-04-13
497  LE104S100300A          그레인러그_블루문핑크(Bluemoon Pink)_40x60  LE10400003001   1  2026-04-13  2026-04-13
498  LE104S100300A         그레인러그_블루문핑크(Bluemoon Pink)_50x150  LE10400003002   1  2026-04-13  2026-04-13
