📦 세트구성_매핑.xlsx 내용:

             세트바코드                                      구성품명         구성품바코드  수량         등록일         수정일
58   LE10000004013                     미니멀러그_블루문_타원2000x3000  LE10000004013   1  2026-04-13  2026-04-13
59   LE10000004014                   미니멀러그_블루문_코너형_750_(1/4)  LE10000004014   1  2026-04-13  2026-04-13
60   LE10000004015                  미니멀러그_블루문_코너형_1000_(1/4)  LE10000004015   1  2026-04-13  2026-04-13
61   LE10000004016                  미니멀러그_블루문_코너형_1500_(1/4)  LE10000004016   1  2026-04-13  2026-04-13
62   LE10000004017                    미니멀러그_블루문_라운드_500x1500  LE10000004017   1  2026-04-13  2026-04-13
63   LE10000004018                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
64   LE10000004019                     미니멀러그_블루문_반원_600x1000  LE10000004019   1  2026-04-13  2026-04-13
65   LE10000004020                     미니멀러그_블루문_반원_780x1380  LE10000004020   1  2026-04-13  2026-04-13
66   LE10000005001                      미니멀러그_딥블랙_사각_400x600  LE10000005001   1  2026-04-13  2026-04-13
67   LE10000005002                     미니멀러그_딥블랙_사각_500x1500  LE10000005002   1  2026-04-13  2026-04-13
68   LE10000005003                    미니멀러그_딥블랙_사각_1000x1500  LE10000005003   1  2026-04-13  2026-04-13
69   LE10000005004                    미니멀러그_딥블랙_사각_1500x2000  LE10000005004   1  2026-04-13  2026-04-13
70   LE10000005005                    미니멀러그_딥블랙_사각_2000x2500  LE10000005005   1  2026-04-13  2026-04-13
71   LE10000005006                    미니멀러그_딥블랙_사각_2000x3000  LE10000005006   1  2026-04-13  2026-04-13
72   LE10000005007                        미니멀러그_딥블랙_원형_1000Ø  LE10000005007   1  2026-04-13  2026-04-13
73   LE10000005008                        미니멀러그_딥블랙_원형_1500Ø  LE10000005008   1  2026-04-13  2026-04-13
74   LE10000005009                        미니멀러그_딥블랙_원형_1900Ø  LE10000005009   1  2026-04-13  2026-04-13
75   LE10000005011                   미니멀러그_딥블랙_타원_1000x1500   LE10000005011   1  2026-04-13  2026-04-13
76   LE10000005012                   미니멀러그_딥블랙_타원_1500x2250   LE10000005012   1  2026-04-13  2026-04-13
77   LE10000005013                   미니멀러그_딥블랙_타원_2000x3000   LE10000005013   1  2026-04-13  2026-04-13
78   LE10000005014                   미니멀러그_딥블랙_코너형_750_(1/4)  LE10000005014   1  2026-04-13  2026-04-13
79   LE10000005015                  미니멀러그_딥블랙_코너형_1000_(1/4)  LE10000005015   1  2026-04-13  2026-04-13
80   LE10000005016                  미니멀러그_딥블랙_코너형_1500_(1/4)  LE10000005016   1  2026-04-13  2026-04-13
81   LE10000005017                    미니멀러그_딥블랙_라운드_500x1500  LE10000005017   1  2026-04-13  2026-04-13
82   LE10000005018                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
83   LE10000005019                     미니멀러그_딥블랙_반원_600x1000  LE10000005019   1  2026-04-13  2026-04-13
84   LE10000005020                     미니멀러그_딥블랙_반원_780x1380  LE10000005020   1  2026-04-13  2026-04-13
85   LE100S1001001                  미니멀러그_오프화이트_사각_2000x3000  LE10000001006   1  2026-04-13  2026-04-13
86   LE100S1001001                  미니멀러그_오프화이트_사각_1500x2000  R008535120010   1  2026-04-13  2026-04-13
87   LE100S1001001                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
88   LE100S1001002                  미니멀러그_오프화이트_사각_2000x3000  LE10000001006   1  2026-04-13  2026-04-13
89   LE100S1001002                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
